id,lat,lon
434555547,54.8597113,38.3091146
434555549,54.8606657,38.3044323
434555552,54.8611591,38.3038351
434555557,54.8615650,38.3033820
434555560,54.8620586,38.3016788
434555562,54.8625066,38.3007951
434555564,54.8624806,38.2998437
434555568,54.8626787,38.2986372
434555572,54.8640553,38.2971198
434555593,54.8670098,38.2898820
434555596,54.8676201,38.2884948
434555600,54.8679610,38.2880868
434555602,54.8685195,38.2866580
434555604,54.8698409,38.2838820
434555609,54.8708117,38.2810000
434555614,54.8709448,38.2750486
434555616,54.8697500,38.2725000
434555618,54.8692084,38.2709222
434555620,54.8722522,38.2708555
434555623,54.8727338,38.2719323
434555626,54.8731688,38.2738820
434555628,54.8728624,38.2797813
434555630,54.8719810,38.2837682
434555634,54.8716022,38.2851377
434555635,54.8697422,38.2881445
434555637,54.8674418,38.2950980
434555640,54.8673021,38.2952882
434555641,54.8667759,38.2965427
434555643,54.8648344,38.3012555
434555650,54.8632723,38.3048232
434555652,54.8614867,38.3109790
434555657,54.8610072,38.3142092
434555659,54.8607527,38.3188257
434555661,54.8610317,38.3240764
434555663,54.8613564,38.3288466
434555667,54.8616197,38.3341596
434555669,54.8620453,38.3385105
434555671,54.8625000,38.3420000
434555681,54.8631569,38.3468739
434555683,54.8647500,38.3552500
434555685,54.8647500,38.3567500
434555697,54.8676118,38.3663866
434555706,54.8687926,38.3756492
434555711,54.8692500,38.3830000
434555712,54.8670133,38.3731281
434555714,54.8666995,38.3723509
434555715,54.8666995,38.3713887
434555716,54.8657128,38.3678655
434555717,54.8652660,38.3672689
434555718,54.8650160,38.3665105
434555719,54.8647500,38.3657500
434555721,54.8636064,38.3609685
434555722,54.8633284,38.3604781
434555723,54.8625368,38.3583189
434555724,54.8621889,38.3557626
434555730,54.8608537,38.3470041
434555731,54.8718461,38.2700339
434555733,54.8682640,38.2698585
434555737,54.8637937,38.1656258
434555738,54.8659342,38.1690597
434555739,54.8670792,38.1675273
434555740,54.8667832,38.1644924
434555742,54.8666241,38.1639183
434555744,54.8656806,38.1636228
434555745,54.8659181,38.1618680
434555747,54.8669515,38.1610143
434555748,54.8671666,38.1607209
434555749,54.8675424,38.1607954
434555750,54.8676800,38.1625799
434555751,54.8678869,38.1637793
434555753,54.8684247,38.1653961
434555754,54.8687154,38.1683444
434555755,54.8687205,38.1692090
434555757,54.8690247,38.1705258
434555758,54.8690228,38.1711388
434555759,54.8673806,38.1681611
434555760,54.8664476,38.1703792
434555762,54.8683294,38.1757050
434555763,54.8689370,38.1781984
434555766,54.8667044,38.1792927
434555767,54.8661429,38.1767254
434555768,54.8647842,38.1733650
445056502,54.8449659,38.1094328
446990295,54.8268638,38.1645282
446990470,54.8274584,38.1650293
446990472,54.8325733,38.1672516
446990473,54.8334311,38.1680109
446990474,54.8345211,38.1700117
446990475,54.8356486,38.1768655
446990476,54.8367246,38.1878453
446990477,54.8369130,38.1898944
446990478,54.8378888,38.1946318
